,id,time_on_site,positive_rating,neutral_rating,negative_rating,listing,listing_gmv,sale,buyers,gmv,listing_per_day,clusters
173169,229377251,37,77,1,1,379,3077.0,82,76,835.0,10.2432432432,1.0
173395,229554894,53,5,0,0,82,3977.0,5,4,268.0,1.54716981132,1.0
173906,229916669,38,11,0,0,254,13067.0,13,12,132.0,6.68421052632,1.0
174161,230088300,79,50,0,0,233,3477.0,50,41,813.0,2.94936708861,1.0
174354,230228575,49,7,0,0,41,4538.0,7,7,216.0,0.836734693878,1.0
174715,230491983,38,29,1,1,92,2992.0,34,34,805.0,2.42105263158,1.0
174947,230658807,37,12,0,0,176,2799.0,12,12,152.0,4.75675675676,1.0
175122,230780480,64,96,1,0,208,1924.0,99,91,897.0,3.25,1.0
175919,231414666,42,23,0,0,118,2007.0,24,24,207.0,2.80952380952,1.0
176071,231544416,6,0,0,0,43,1185.0,0,0,0.0,7.16666666667,1.0
176219,231673284,69,44,2,0,341,3378.0,47,45,467.0,4.94202898551,1.0
176335,231771028,1,0,0,0,7,335.0,0,0,0.0,7.0,1.0
176543,231922230,58,77,2,1,277,4152.0,82,75,1068.0,4.77586206897,1.0
176713,232046606,46,14,0,0,26,2246.0,14,13,1014.0,0.565217391304,1.0
176749,232073486,72,11,0,0,71,7257.0,11,11,936.0,0.986111111111,1.0
176869,232149349,32,41,1,2,115,2384.0,44,43,523.0,3.59375,1.0
177071,232288327,67,51,1,0,167,1725.0,57,55,470.0,2.49253731343,1.0
177859,232884432,59,98,10,1,137,6429.0,110,110,3900.0,2.32203389831,1.0
177994,232983032,56,10,0,0,248,14296.0,10,9,388.0,4.42857142857,1.0
177998,232984299,43,69,6,0,313,10474.0,77,61,3101.0,7.27906976744,1.0
178729,233520561,38,17,0,0,131,1301.0,19,18,171.0,3.44736842105,1.0
179165,233853351,33,48,1,1,173,2775.0,50,49,984.0,5.24242424242,1.0
179249,233923393,52,6,2,0,28,1901.0,8,8,1282.0,0.538461538462,1.0
180388,234779910,60,15,1,0,38,3177.0,17,17,1640.0,0.633333333333,1.0
180882,235151752,55,2,0,0,36,3885.0,2,2,216.0,0.654545454545,1.0
180916,235171488,19,21,2,0,170,2263.0,24,23,329.0,8.94736842105,1.0
181243,235424528,28,67,1,0,321,11865.0,69,65,2930.0,11.4642857143,1.0
181879,235897709,20,3,0,0,98,3069.0,4,4,93.0,4.9,1.0
183090,236799228,43,27,1,0,51,1790.0,29,29,1023.0,1.18604651163,1.0
183424,237054306,74,21,1,0,96,4267.0,23,22,836.0,1.2972972973,1.0
183453,237074091,69,63,2,0,145,2532.0,66,63,1001.0,2.10144927536,1.0
183537,237140262,2,0,0,0,24,638.0,0,0,0.0,12.0,1.0
183849,237405958,56,27,2,0,162,7663.0,31,29,893.0,2.89285714286,1.0
184053,237561170,38,5,0,0,49,4063.0,5,5,200.0,1.28947368421,1.0
184757,238105912,77,50,0,0,72,1020.0,51,48,761.0,0.935064935065,1.0
185292,238521063,2,0,0,0,61,916.0,0,0,0.0,30.5,1.0
185348,238565458,69,13,1,0,45,4755.0,15,14,2210.0,0.652173913043,1.0
185403,238601993,50,50,4,3,63,930.0,63,61,930.0,1.26,1.0
185940,239026622,79,34,3,0,96,1420.0,42,42,538.0,1.21518987342,1.0
186006,239067621,24,74,10,3,118,1815.0,87,83,1344.0,4.91666666667,1.0
186053,239105128,81,49,3,0,58,2389.0,58,52,2389.0,0.716049382716,1.0
186188,239222534,73,27,1,0,149,1495.0,28,28,370.0,2.04109589041,1.0
186386,239384113,72,7,1,0,94,3213.0,8,8,171.0,1.30555555556,1.0
187207,240041368,48,28,4,0,85,1211.0,33,33,513.0,1.77083333333,1.0
187904,240544838,27,15,1,1,43,3350.0,17,17,687.0,1.59259259259,1.0
187958,240579381,79,59,3,0,120,7290.0,66,59,5858.0,1.51898734177,1.0
188268,240806639,32,20,2,0,107,1391.0,22,21,291.0,3.34375,1.0
188417,240904674,37,8,0,0,128,2913.0,8,8,309.0,3.45945945946,1.0
188561,240996557,30,7,1,0,123,1170.0,10,9,76.0,4.1,1.0
188950,241296185,47,104,2,1,252,4405.0,109,95,2046.0,5.36170212766,1.0
189292,241541031,72,19,0,0,223,3307.0,19,19,281.0,3.09722222222,1.0
190743,242659582,51,40,0,1,83,4198.0,41,39,2570.0,1.62745098039,1.0
190974,242821352,3,0,0,0,16,4566.0,0,0,0.0,5.33333333333,1.0
191535,243252321,30,4,0,0,346,6120.0,4,4,55.0,11.5333333333,1.0
191803,243465392,73,16,2,1,59,2510.0,21,21,656.0,0.808219178082,1.0
192252,243805551,63,23,2,0,135,2595.0,25,24,299.0,2.14285714286,1.0
192273,243815617,1,0,0,0,8,138.0,0,0,0.0,8.0,1.0
192714,244155940,55,1,0,0,31,10695.0,1,1,325.0,0.563636363636,1.0
193017,244382672,79,37,5,1,121,3204.0,46,46,2064.0,1.53164556962,1.0
193264,244559492,80,34,5,0,122,2222.0,41,41,818.0,1.525,1.0
193439,244699474,69,60,2,0,111,2460.0,62,44,1472.0,1.60869565217,1.0
193478,244726291,36,4,0,0,25,5755.0,4,4,416.0,0.694444444444,1.0
193779,244936628,65,27,0,0,126,1465.0,29,25,433.0,1.93846153846,1.0
195003,245827573,61,21,1,0,131,1550.0,22,22,391.0,2.14754098361,1.0
195797,246439099,33,23,1,0,90,1646.0,25,25,435.0,2.72727272727,1.0
196117,246689171,62,5,1,0,102,12697.0,7,7,372.0,1.64516129032,1.0
196259,246790350,66,26,0,1,76,9308.0,29,27,2575.0,1.15151515152,1.0
197414,247637878,12,5,0,0,69,2813.0,5,5,152.0,5.75,1.0
198688,248607411,33,18,1,0,109,1928.0,19,19,303.0,3.30303030303,1.0
199017,248840425,79,139,6,1,388,8288.0,147,139,3461.0,4.91139240506,1.0
